 
 ##_NUMERICAL_ANALYSIS_OUTPUT_##
 
 <_SYSTEM_INFORMATION_>
 DAMPING_RATIO: 0.4999839355E-01
 NATURAL_FREQUENCY_AND_PERIOD: 0.6275363571E+01   0.1001246448E+01
 
 <_LOAD_INFORMATION_>
 APPLIED_LOAD: 0.0000E+00*SIN[0.2094E+02*t]
 
 <_ANALYSIS_METHOD_INFORMATION_>
 STATE_FORM_METHOD
 
 <_ANALYSIS_RESULT_>
   TIME         DISPLACEMENT       VELOCITY           ACCELERATION
   0.0000E+00   0.1000000000E+01   0.0000000000E+00   -.3947887880E+02
   0.1000E-01   0.9980308314E+00   -.3932922504E+00   -.3915403192E+02
   0.2000E-01   0.9921475265E+00   -.7825738873E+00   -.3867717920E+02
   0.3000E-01   0.9823977471E+00   -.1166338512E+01   -.3805114876E+02
   0.4000E-01   0.9688440679E+00   -.1543110866E+01   -.3727933787E+02
   0.5000E-01   0.9515636371E+00   -.1911452441E+01   -.3636569608E+02
   0.6000E-01   0.9306477814E+00   -.2269966904E+01   -.3531470619E+02
   0.7000E-01   0.9062015583E+00   -.2617305333E+01   -.3413136328E+02
   0.8000E-01   0.8783432563E+00   -.2952171223E+01   -.3282115184E+02
   0.9000E-01   0.8472038469E+00   -.3273325257E+01   -.3139002114E+02
   0.1000E+00   0.8129263900E+00   -.3579589828E+01   -.2984435893E+02
   0.1100E+00   0.7756653951E+00   -.3869853283E+01   -.2819096352E+02
   0.1200E+00   0.7355861420E+00   -.4143073881E+01   -.2643701449E+02
   0.1300E+00   0.6928639628E+00   -.4398283459E+01   -.2459004206E+02
   0.1400E+00   0.6476834893E+00   -.4634590776E+01   -.2265789526E+02
   0.1500E+00   0.6002378683E+00   -.4851184538E+01   -.2064870904E+02
   0.1600E+00   0.5507279487E+00   -.5047336091E+01   -.1857087051E+02
   0.1700E+00   0.4993614424E+00   -.5222401769E+01   -.1643298432E+02
   0.1800E+00   0.4463520650E+00   -.5375824892E+01   -.1424383747E+02
   0.1900E+00   0.3919186566E+00   -.5507137416E+01   -.1201236362E+02
   0.2000E+00   0.3362842892E+00   -.5615961214E+01   -.9747606957E+01
   0.2100E+00   0.2796753625E+00   -.5702009003E+01   -.7458686002E+01
   0.2200E+00   0.2223206923E+00   -.5765084908E+01   -.5154757209E+01
   0.2300E+00   0.1644505950E+00   -.5805084652E+01   -.2844978735E+01
   0.2400E+00   0.1062959726E+00   -.5821995404E+01   -.5384743859E+00
   0.2500E+00   0.4808740000E-01   -.5815895245E+01   0.1755702056E+01
   0.2600E+00   -.9945779777E-02   -.5786952300E+01   0.4028602016E+01
   0.2700E+00   -.6757635014E-01   -.5735423508E+01   0.6271416675E+01
   0.2800E+00   -.1245801016E+00   -.5661653058E+01   0.8475510747E+01
   0.2900E+00   -.1807366950E+00   -.5566070485E+01   0.1063245537E+02
   0.3000E+00   -.2358305041E+00   -.5449188447E+01   0.1273405996E+02
   0.3100E+00   -.2896514346E+00   -.5311600190E+01   0.1477240297E+02
   0.3200E+00   -.3419957155E+00   -.5153976706E+01   0.1673986135E+02
   0.3300E+00   -.3926666620E+00   -.4977063606E+01   0.1862913864E+02
   0.3400E+00   -.4414754042E+00   -.4781677723E+01   0.2043329172E+02
   0.3500E+00   -.4882415814E+00   -.4568703447E+01   0.2214575579E+02
   0.3600E+00   -.5327939987E+00   -.4339088827E+01   0.2376036795E+02
   0.3700E+00   -.5749712426E+00   -.4093841441E+01   0.2527138882E+02
   0.3800E+00   -.6146222553E+00   -.3834024059E+01   0.2667352256E+02
